LOG_NUM ,SERVICE_ID,SERVER_OS_ID,SW_INSTANCE_ID,NETWORK_ID,ISSUE_DATE      ,ISSUE_RECEIVE_DATE,SOURCE_TYPE,MSG                                                                                                                    ,LOG_STATUS_TYPE,HOST_NAME,SW_INSTANCE_NM,RECEIVE_ID,RECEIVE_DATE,RECOVER_ID,RECOVER_DATE    ,LOG_STATUS_DESC                             ,SPLUNK_DOMAIN,SPLUNK_ITEM,EV_GRADE,SW_INSTANCE_TYPE,HKEY       ,STORAGE_ID,FUP_YN,VSERVICE_ID,CLOSE_SITE
29001153,SVC01001  ,            ,              ,0         ,2019-08-21 14:56,201908211455      ,SPLUNK     ,[SWING TIMEOUT 발생] ZORDSSUBS0050_TR01(고객 서비스목록 조회)업무에서 최근 3분간 TIMEOUT 75건 발생 - 담당자 권오성(010-9001-5059)  ,S              ,         ,              ,          ,            ,4655      ,2019-08-21 21:51,                                            ,TP           ,TIMEOUT_TR ,O       ,SERVICE         ,-2021600836,          ,N     ,           ,S
29054079,SVC01001  ,            ,              ,0         ,2019-08-23 11:58,201908231158      ,SPLUNK     ,[SWING TIMEOUT 발생] ZORDSSUBS0050_TR01(고객 서비스목록 조회)업무에서 최근 3분간 TIMEOUT 112건 발생 - 담당자 권오성(010-9001-5059) ,I              ,         ,              ,          ,            ,          ,                ,                                            ,TP           ,TIMEOUT_TR ,O       ,SERVICE         ,1848163974 ,          ,N     ,           ,
29001551,SVC01001  ,            ,              ,0         ,2019-08-21 15:38,201908211538      ,SPLUNK     ,[SWING TIMEOUT 발생] ZORDSSUBS0050_TR01(고객 서비스목록 조회)업무에서 최근 3분간 TIMEOUT 75건 발생 - 담당자 권오성(010-9001-5059)  ,S              ,         ,              ,          ,            ,4655      ,2019-08-21 21:51,                                            ,TP           ,TIMEOUT_TR ,O       ,SERVICE         ,-2021600836,          ,N     ,           ,S
29001975,SVC01001  ,            ,              ,0         ,2019-08-21 16:15,201908211614      ,SPLUNK     ,[SWING TIMEOUT 발생] ZORDSSUBS0050_TR01(고객 서비스목록 조회)업무에서 최근 3분간 TIMEOUT 85건 발생 - 담당자 권오성(010-9001-5059)  ,S              ,         ,              ,          ,            ,4655      ,2019-08-21 21:51,                                            ,TP           ,TIMEOUT_TR ,O       ,SERVICE         ,263262619  ,          ,N     ,           ,S
28999439,SVC01001  ,            ,              ,0         ,2019-08-21 11:48,201908211148      ,SPLUNK     ,[SWING TIMEOUT 발생] ZORDSSUBS0050_TR01(고객 서비스목록 조회)업무에서 최근 3분간 TIMEOUT 94건 발생 - 담당자 권오성(010-9001-5059)  ,S              ,         ,              ,          ,            ,4655      ,2019-08-21 21:51,                                            ,TP           ,TIMEOUT_TR ,O       ,SERVICE         ,-2097641159,          ,N     ,           ,S
28998473,SVC01001  ,            ,              ,0         ,2019-08-21 09:59,201908210959      ,SPLUNK     ,[SWING TIMEOUT 발생] ZORDSSUBS0050_TR01(고객 서비스목록 조회)업무에서 최근 3분간 TIMEOUT 90건 발생 - 담당자 권오성(010-9001-5059)  ,S              ,         ,              ,          ,            ,4655      ,2019-08-21 21:51,                                            ,TP           ,TIMEOUT_TR ,O       ,SERVICE         ,794126389  ,          ,N     ,           ,S
29001617,SVC01001  ,            ,              ,0         ,2019-08-21 15:44,201908211544      ,SPLUNK     ,[SWING TIMEOUT 발생] ZORDSSUBS0050_TR01(고객 서비스목록 조회)업무에서 최근 3분간 TIMEOUT 66건 발생 - 담당자 권오성(010-9001-5059)  ,S              ,         ,              ,          ,            ,4655      ,2019-08-21 21:51,                                            ,TP           ,TIMEOUT_TR ,O       ,SERVICE         ,339302942  ,          ,N     ,           ,S
29001897,SVC01001  ,            ,              ,0         ,2019-08-21 16:10,201908211610      ,SPLUNK     ,[SWING TIMEOUT 발생] ZORDSSUBS0050_TR01(고객 서비스목록 조회)업무에서 최근 3분간 TIMEOUT 68건 발생 - 담당자 권오성(010-9001-5059)  ,S              ,         ,              ,          ,            ,4655      ,2019-08-21 21:51,                                            ,TP           ,TIMEOUT_TR ,O       ,SERVICE         ,104002816  ,          ,N     ,           ,S
29025259,SVC01001  ,            ,              ,0         ,2019-08-22 09:07,201908220907      ,SPLUNK     ,[SWING TIMEOUT 발생] ZORDSCUS00700_TR01(KAIT부정가입방지 수신)업무에서 최근 3분간 TIMEOUT 24건 발생 - 담당자 김보현B(010-4588-8647),S              ,         ,              ,          ,            ,4438      ,2019-08-22 09:40,법무부 외국인 확인 IF 지연건으로 확인 09:10분 정상화,TP           ,TIMEOUT_TR ,O       ,SERVICE         ,2025028745 ,          ,N     ,           ,S
29026781,SVC01001  ,            ,              ,0         ,2019-08-22 11:52,201908221152      ,SPLUNK     ,[SWING TIMEOUT 발생] ZORDSSUBS0050_TR01(고객 서비스목록 조회)업무에서 최근 3분간 TIMEOUT 102건 발생 - 담당자 권오성(010-9001-5059) ,S              ,         ,              ,          ,            ,5796      ,2019-08-22 23:25,                                            ,TP           ,TIMEOUT_TR ,O       ,SERVICE         ,-436699481 ,          ,N     ,           ,S
29030118,SVC01001  ,            ,              ,0         ,2019-08-22 17:28,201908221728      ,SPLUNK     ,[SWING TIMEOUT 발생] ZORDSSUBS0050_TR01(고객 서비스목록 조회)업무에서 최근 3분간 TIMEOUT 115건 발생 - 담당자 권오성(010-9001-5059) ,S              ,         ,              ,          ,            ,5796      ,2019-08-22 23:25,                                            ,TP           ,TIMEOUT_TR ,O       ,SERVICE         ,-1394403511,          ,N     ,           ,S
